,HomeTeam,Win,Draw,Lost,Rain_win_ratio_%
0,Aachen,2,3,4,0.2222222222222222
1,Augsburg,2,2,4,0.25
2,Bayern Munich,2,1,3,0.3333333333333333
3,Bochum,4,2,6,0.3333333333333333
4,Braunschweig,4,3,2,0.4444444444444444
5,Cottbus,5,3,2,0.5
6,Dortmund,4,1,1,0.6666666666666666
7,Dresden,3,4,3,0.3
8,Duisburg,1,5,3,0.1111111111111111
9,Ein Frankfurt,4,1,3,0.5
10,Erzgebirge Aue,1,2,4,0.14285714285714285
11,FC Koln,0,2,5,0.0
12,Fortuna Dusseldorf,2,3,1,0.3333333333333333
13,Frankfurt FSV,0,5,3,0.0
14,Freiburg,1,4,3,0.125
15,Greuther Furth,8,1,1,0.8
16,Hamburg,1,4,2,0.14285714285714285
17,Hannover,3,4,0,0.42857142857142855
18,Hansa Rostock,1,5,3,0.1111111111111111
19,Hertha,0,4,5,0.0
20,Hoffenheim,2,4,1,0.2857142857142857
21,Ingolstadt,1,3,2,0.16666666666666666
22,Kaiserslautern,0,4,4,0.0
23,Karlsruhe,3,0,7,0.3
24,Leverkusen,3,1,2,0.5
25,M'gladbach,4,3,1,0.5
26,Mainz,4,2,1,0.5714285714285714
27,Munich 1860,6,1,1,0.75
28,Nurnberg,6,0,2,0.75
29,Paderborn,1,3,3,0.14285714285714285
30,Schalke 04,5,1,2,0.625
31,St Pauli,6,0,0,1.0
32,Stuttgart,2,3,3,0.25
33,Union Berlin,2,2,6,0.2
34,Werder Bremen,3,1,3,0.42857142857142855
35,Wolfsburg,3,1,3,0.42857142857142855
